📺央视频道,#genre#
CCTV-1,http://45.192.97.170:8880/play/1.m3u8
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-5,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV-5+,http://45.192.97.170:8880/play/6.m3u8
CCTV-6,http://198.204.240.250:82/live/cctv6.m3u8
CCTV-7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-8,http://192.151.150.154/live/cctv8k.m3u8
CCTV-9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV-10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-11,https://xykt-fix.github.io/play/a02b/index.m3u8
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8
世界地理,https://shcm-stream-cf1.stream.264788.xyz/cms001/ch00000090990000001620/index.m3u8?streamid=8a034b40397504e25b3775c772237996&streamkey=01vY5fRxC8VyKg4oq30vfikHXTCAKySLP29l6OG91kQlzDttHgzNLkUw5kivm3PfNsVHJv5FgdsPBYFYI2IWpt7tfRCuFHqLT2pvX67ubMds8jl2DHtvOh0&token=1775754349-4f33f4f84a4abeba-0-91687dc8c9325092efa1d00f330d2710
老故事,http://112.27.235.94:8000/hls/50/index.m3u8
CGTN,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
📡卫视频道,#genre#
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8
江苏卫视,http://8.138.7.223/tv/jsws4k.php
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
三沙卫视,http://221.226.51.220:50081/newlive/live/hls/38/live.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
西藏卫视,http://cssbyd.imwork.net:8082/hls/46/index.m3u8
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
上海卫视,http://112.27.235.94:8000/hls/28/index.m3u8
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
金鹰卡通,http://101.66.194.177:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
Bread TV面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
桦甸,http://stream10.jlntv.cn/huadian/sd/live.m3u8?zjild
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
新闻综合,https://m3u8channel.yunxya.com/nmip-media/channellive/channel100028/playlist.m3u8
福州少儿,http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
☘️北京频道,#genre#
北京卡酷少儿,http://218.13.170.98:9901/tsfile/live/1021_1.m3u8
北京新闻,https://ls.qingting.fm/live/339/64k.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
☘️上海频道,#genre#
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
新纪实,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
☘️天津频道,#genre#
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
☘️重庆频道,#genre#
江津新闻,http://222.179.155.21:1935/ch1.m3u8?zzhongqd
